Timestamp,ResponseTime
1750768717.537735,12384.559
1750768717.598331,24880.507999999998
1750768717.818377,36632.143
1750768717.892919,48612.956
1750768807.149176,11953.343
1750768807.15734,24033.046
1750768807.2254,36222.023
1750768807.309696,47794.963
1750768807.364843,59842.231
1750768807.668101,71381.27
1750768807.744419,83203.391
1750768807.80074,95082.411
1750768807.935235,107434.433
1750768897.390886,29862.709
1750768897.547532,41475.257999999994
1750768897.714908,53095.346
1750768897.904277,64796.92799999999
1750768897.914062,76825.147
1750768897.970787,88667.316
1750768987.464089,12184.98
1750768987.531188,24049.051
1750768987.54441,36007.672999999995
1750768987.674796,47622.896
1750768987.823137,59572.983
1750768987.909428,71268.247
1750768988.062747,82869.297
1750768988.133782,94437.12999999999
1750769077.416556,16883.133
1750769077.460899,28685.898
1750769077.543373,40843.527
1750769077.819009,53081.044
1750769167.663573,11911.201000000001
1750769167.850906,23789.781000000003
1750769167.966025,35681.396
1750769168.199372,47202.112
1750769257.585493,12012.610999999999
1750769257.809941,23575.13
1750769257.847689,35250.178
1750769257.858866,47326.1
1750769257.884001,59066.803
1750769257.939199,71032.83600000001
1750769258.108735,82867.197
1750769258.30317,94566.75
1750769258.303906,106528.567
1750769258.375062,118358.705
1750769347.59176,41100.101
1750769347.673036,52876.34
1750769347.679047,64644.176
1750769347.717082,76509.315
1750769347.993601,88404.944
1750769348.025693,100303.304
1750769348.043825,112204.744
1750769348.12187,123976.655
1750769437.828563,46163.698
1750769437.889102,57835.826
1750769437.920527,69724.147
1750769437.927781,81462.376
1750769438.067348,93309.565
1750769438.244027,105243.56199999999
1750769438.247008,117102.435
1750769438.358989,128691.383
1750769527.696631,51146.468
1750769527.676522,63053.844
1750769528.130396,74598.26599999999
1750769528.483093,86061.873
1750769528.533124,97853.41200000001
1750769618.305508,19992.609
1750769707.777729,11904.89
1750769707.858482,23929.957000000002
1750770248.23698,12208.085000000001
1750770338.891147,11895.705
1750770339.042751,24080.416
1750770428.426452,11949.391
1750770428.538901,23517.648
1750770428.641087,35334.757000000005
1750770518.472988,11683.089
1750770518.501052,23505.503
1750770518.916735,35078.666
1750770608.398421,12203.867
1750770608.542939,24001.491
1750770609.239422,35489.768
1750770609.262447,47679.738
1750770609.372878,59514.614
1750770698.44631,11936.792000000001
1750770698.52555,23909.285
1750770698.622816,36036.212999999996
1750770698.665295,47817.744
1750770698.777765,59347.009999999995
1750770698.78079,71239.166
1750770698.785621,82971.834
1750770699.002799,94586.758
1750770699.057707,106719.348
1750770699.074893,118774.973
1750770699.167899,130776.012
1750770699.35161,142755.24
1750770699.381898,154552.43899999998
1750770789.009161,77167.201
1750770789.106504,89285.91900000001
1750770789.159567,101033.027
1750770789.374043,112627.404
1750770789.416127,124419.207
1750770878.590352,46993.048
1750770878.610822,59088.246
1750770878.644448,71082.576
1750770878.738459,83035.812
1750770878.88511,94417.85
1750770879.012316,106262.753
1750770968.642149,28557.588
1750770968.647188,40401.849
1750770968.652201,52673.136999999995
1750770968.867931,64372.412
1750770969.004445,76118.644
1750770969.076157,87951.553
1750770969.088188,100054.37999999999
1750770969.163196,112174.54
1750770969.235526,123957.673
1750771058.753112,46345.616
1750771058.89045,58151.884000000005
1750771058.987598,70000.03700000001
1750771059.257872,81821.935
1750771059.407091,93716.891
1750771148.869306,16281.472999999998
1750771149.242451,27879.805999999997
1750771149.355527,39800.056
1750771238.822222,11877.064
1750771238.841582,23692.797
1750771238.845528,35853.046
1750771238.863908,47660.59
1750771239.076448,59401.794
1750771239.090586,71237.545
1750771239.161607,83090.06
1750771239.507509,94939.80399999999
1750771328.897893,17840.468999999997
1750771329.179374,29670.869
